stop_name,primary_mode,num_lines,latitude,longitude,health_facilities_500m
BOULEVARD BOUALAM,casabus,1,33.56138445000272,-7.536664499973698,0
BOULEVARD CHEFCHAOUNI,casabus,1,33.627955850041516,-7.500551549886359,0
BOULEVARD DAKHLA,casabus,1,33.5333817000036,-7.600812000007234,0
BOULEVARD DAKHLA 2,casabus,1,33.543584800000005,-7.5766643,0
BOULEVARD DAKHLA 2,casabus,1,33.5438997,-7.577113300000001,0
BOULEVARD DE BOURGOGNE,casabus,1,33.59504650000585,-7.6506793999743685,1
BOULEVARD DE BOUSKOURA,casabus,2,33.5573617,-7.649074800000001,0
BOULEVARD DE GAZA,casabus,3,33.56868335008557,-7.58429419992433,0
BOULEVARD DE LA MECQUE,casabus,4,33.54598605001916,-7.631675749974737,1
BOULEVARD DE LA RESISTANCE,casabus,1,33.589095,-7.603987,0
BOULEVARD DE LA RESISTANCE,casabus,1,33.58930699999999,-7.6037109,0
BOULEVARD DE MAKRO,casabus,1,33.59497930002471,-7.528426799894602,0
BOULEVARD DE RIYAD,casabus,1,33.6731691000421,-7.393864799934656,0
BOULEVARD DE TEMARA,casabus,1,33.54973570000001,-7.5992451999999995,1
BOULEVARD DES FACULTES,casabus,2,33.54212035000063,-7.677332199994776,0
BOULEVARD DRISS EL HARTI,casabus,3,33.5481079,-7.572958299999999,0
BOULEVARD DRISS EL HARTI,casabus,3,33.5484006,-7.572813400000001,0
BOULEVARD DU NIL,casabus,4,33.55827100000455,-7.569085899988194,2
BOULEVARD EL HARTI,casabus,3,33.543869900001795,-7.580326500015327,0
BOULEVARD EL YAZIDI,casabus,1,33.601394050010555,-7.5155848500390965,0
BOULEVARD FATIMA ZAROUAL,casabus,1,33.523836500001075,-7.596666099995871,0
BOULEVARD HAJ FATEH,casabus,1,33.5386461,-7.6797808,0
BOULEVARD HAJ FATEH,casabus,1,33.5388552,-7.679325800000001,0
BOULEVARD HAJ FATEH 2,casabus,2,33.5511417,-7.6892307,0
BOULEVARD HAJ FATEH OULFA,casabus,2,33.5492326500342,-7.688159699979713,0
BOULEVARD HASSAN 1,casabus,1,33.593459,-7.6229835,2
BOULEVARD HASSAN 2 MOHAMMEDIA 2,casabus,2,33.69002255004117,-7.396251899909655,0
BOULEVARD HOUCINE SOUSSI,casabus,3,33.583985950000425,-7.529324050003818,0
BOULEVARD IBN TACHFINE,casabus,4,33.58479035003053,-7.573414550070315,0
BOULEVARD IBNOU SINA,casabus,7,33.5717944,-7.6684743,0
BOULEVARD IBNOU SINA,casabus,7,33.5720835,-7.668218900000002,0
BOULEVARD IBNOU SINA N43,casabus,9,33.5753223,-7.662022600000001,0
BOULEVARD IMAM ALI,casabus,5,33.597760400018586,-7.520160150072079,1
BOULEVARD LA RESISTENCE MO,casabus,1,33.6811962,-7.4056308,0
BOULEVARD LA RESISTENCE MO,casabus,1,33.681450099999985,-7.4053168000000005,0
BOULEVARD LALA ASMA,casabus,2,33.57697895003751,-7.540686950075796,0
BOULEVARD MOHAMED SIJILMASSI,casabus,1,33.58794050000001,-7.6396307,4
BOULEVARD MOHAMED V MO,casabus,1,33.7026873,-7.394259300000001,0
BOULEVARD MOHAMED V MO,casabus,1,33.7029532,-7.3945509,0
BOULEVARD MOULAY SLIMAN,casabus,1,33.611482450000246,-7.5611587500019946,0
BOULEVARD MOULAY SMAIL,casabus,3,33.59849480000116,-7.575902100010699,0
BOULEVARD NAKHIL,casabus,3,33.55242,-7.482840300000001,0
BOULEVARD NAKHIL,casabus,3,33.553202,-7.481837600000001,0
BOULEVARD NASSIBA BENT KAAB,casabus,2,33.57759570002236,-7.546429699937032,1
BOULEVARD OQBA,casabus,2,33.579632150010106,-7.559256150047924,0
BOULEVARD OUED BEHT,casabus,1,33.558512199999996,-7.677625900000001,0
BOULEVARD OUED DAHAB,casabus,3,33.543556300000006,-7.5689226,0
BOULEVARD OUED DAHAB,casabus,3,33.54356429999999,-7.5685393,0
BOULEVARD OUED DRAA,casabus,2,33.556112,-7.684743300000001,1
BOULEVARD OUED DRAA,casabus,2,33.55638989999999,-7.6845837,1
BOULEVARD OUED EDAOURA 1,casabus,2,33.54258225000962,-7.677870799996423,0
BOULEVARD OUED LAOU,casabus,2,33.560442250005785,-7.675207800042903,0
BOULEVARD OUED TENSIFT,casabus,3,33.5525804,-7.684519200000001,0
BOULEVARD OUED TENSIFT,casabus,2,33.552907499999996,-7.6846639,0
BOULEVARD PALESTINE,casabus,1,33.6862273500105,-7.374746900041967,0
BOULEVARD RACHIDI,casabus,5,33.5909199,-7.621952199999999,2
BOULEVARD ROUDANI,casabus,1,33.584754350058915,-7.6304731500376475,0
BOULEVARD SMARA,casabus,2,33.537344250007145,-7.588660450049245,0
BOULEVARD SOUR JDID,casabus,1,33.605026099999996,-7.6210778,0
BOULEVARD SOUR JDID,casabus,1,33.6052352,-7.6207587000000006,0
BOULEVARD TAH,casabus,1,33.5341683,-7.5799083,0
BOULEVARD TAH,casabus,1,33.5348302,-7.578890900000001,0
BOULEVARD TARIK IBNOU ZIAD,casabus,1,33.5768411,-7.616815,2
BOULEVARD TAZA,casabus,2,33.54438319999999,-7.5947479,0
BOULEVARD TAZA,casabus,2,33.5450965,-7.594681900000001,0
BOULEVARD ZERKTOUNI,casabus,3,33.5915415,-7.6362428,3
BOULEVARD ZERKTOUNI,casabus,3,33.5916527,-7.636585499999998,3
BOULEVARS ABDELKRIM KHATTABI,casabus,1,33.58092605000141,-7.664745499989933,1
BOUSKOURA CENTRE,casabus,1,33.43762790005701,-7.6421027999979545,0
BOUZIANE,casabus,1,33.56998519999999,-7.5434502000000005,1
BOUZIANE,casabus,1,33.5704918,-7.5437363,1
BRAHMA 3,casabus,1,33.62896380006317,-7.451376050018788,0
BRAHMA II,casabus,1,33.621951250001366,-7.446327650011226,0
Boulevard Fouarate,casabus,2,33.57618140000206,-7.568907699986729,0
Boulevard Hassan El Allaoui,casabus,1,33.57979675000104,-7.58658799999584,0
Boulevard L'Ocean Atlantique,casabus,1,33.5872175,-7.6851111,0
Boulevard L'Ocean Atlantique,casabus,1,33.5873755,-7.684600400000001,0
Boulevard Mohamed Sijilmassi,casabus,1,33.588876400000004,-7.6398817,3
CARIERRE CENTRALE,casabus,2,33.59215305003014,-7.566499200086376,0
CARRIERE ARAIB,casabus,3,33.5818284500065,-7.533845549992411,0
CARRIERE BEN ABID,casabus,1,33.499899199999994,-7.8746248,0
CARRIERE BEN ABID,casabus,1,33.50055580000001,-7.8743263,0
CARRIERE BEN M'SIK,casabus,1,33.5579318,-7.5794702,0
CARRIERE BENMSICK,casabus,1,33.557494600000005,-7.5791201,0
CARRIERE RHAMNA,casabus,4,33.5900003,-7.5189355,0
CARRIERE RHAMNA,casabus,4,33.5902896,-7.518923400000001,0
CARRIERE SCHNEIDER,casabus,4,33.56449669999999,-7.6678834,1
