StopName,StopLat,StopLon,NumRoutes
AVENUE HACHMI FILALI,33.5244883,-7.6170041,1
AVENUE JOUDAR,33.5613308,-7.5256587,1
AVENUE JOUDAR,33.5614555,-7.5254649,1
AVENUE MOHAMED BOUZIANE,33.5638023,-7.5566218,3
AVENUE MOHAMED BOUZIANE,33.5640166,-7.5567719,3
AVENUE PASTEUR,33.5959919,-7.6019597,5
AVENUE PASTEUR,33.596227,-7.6024877,5
AVENUE REDA GUEDIRA,33.5554079,-7.5737148,3
AVENUE REDA GUEDIRA,33.5555999,-7.5735893,3
AVENUE TADDART,33.539733,-7.6179093,1
AVENUE TADDART,33.5404795,-7.6183981,1
AZBANE 1,33.5364803,-7.6651715,4
AZBANE 1,33.5369043,-7.6652872,4
AZHAR OULFA,33.543774,-7.6871301,2
AZHAR OULFA,33.5438084,-7.6872103,2
BAB AL BAIDA,33.4763793,-7.6609219,1
BAB AL BAIDA,33.4765031,-7.6607878,1
BACHAOUIA BOUSKOURA,33.4710004,-7.6381359,3
BACHAOUIA BOUSKOURA,33.4714095,-7.6386802,3
BACHAOUIAT AL AZHAR,33.5989671,-7.4890832,1
BACHAOUIAT AL AZHAR,33.5990324,-7.4890597,1
BASATINE AL FIRDAOUS,33.6677546,-7.3589731,1
BASATINE AL FIRDAOUS,33.6679254,-7.358937,1
BASATINE AL GHOFRANE,33.5230467,-7.5218971,1
BASATINE AL GHOFRANE,33.5231304,-7.5219641,1
BASSATINE AL OULFA,33.5502292,-7.6975482,1
BASSATINE AL OULFA,33.5504451,-7.6974182,1
BAYTI SAKAN 1,33.6852774,-7.3420886,1
BAYTI SAKAN 1,33.6854493,-7.34206,1
BD HASSAN 2 MOHAMMEDIA 01,33.6915899,-7.3944385,5
BD HASSAN 2 MOHAMMEDIA 01,33.691887,-7.3935357,5
BD HASSAN 2 MOHAMMEDIA 03,33.6875746,-7.3992663,4
BD HASSAN 2 MOHAMMEDIA 03,33.6877478,-7.3994753,4
BEAUSEJOUR,33.5644544,-7.6462215,2
BEAUSEJOUR,33.5649259,-7.6465435,2
BEN HAMOU,33.4581684,-7.5167536,1
BEN HAMOU,33.4583632,-7.517086,1
BENI MGUILD,33.5711141,-7.604315,1
