name,lat,lon
BOULEVARD 9 AVRIL,33.5822638,-7.6283015
BOULEVARD 9 AVRIL,33.5826329,-7.6293945
BOULEVARD ABDELHADI BOUTALEB,33.5759089,-7.6766599
BOULEVARD ABDELHADI BOUTALEB,33.576106,-7.6767584
BOULEVARD ABDELMOUMEN,33.5791825,-7.6253022
BOULEVARD ABDELMOUMEN,33.5801957,-7.6246118
BOULEVARD ABDELMOUMEN 2,33.57808,-7.625376
BOULEVARD ABDERRAHIM BOUABID,33.5624467,-7.6430536
BOULEVARD ABDERRAHIM BOUABID,33.5627332,-7.6431092
BOULEVARD ABOU HOURAIRA,33.5616926,-7.5723052
BOULEVARD ABOU HOURAIRA,33.5622784,-7.5720777
BOULEVARD ABOU HOURAIRA 2,33.5635313,-7.5694865
BOULEVARD ABOU HOURAIRA 2,33.5636387,-7.5699047
BOULEVARD AFGHANISTAN,33.5714553,-7.6760542
BOULEVARD AFGHANISTAN,33.5715249,-7.6761522
BOULEVARD AHL LOGHLAM,33.5998593,-7.5039061
BOULEVARD AHL LOGHLAM,33.5999361,-7.5036112
BOULEVARD AHL LOGHLAM AZHAR,33.5976286,-7.4895152
BOULEVARD AHL LOGHLAM AZHAR,33.5978498,-7.4896762
BOULEVARD AHL LOGHLAM SAKANI,33.5977868,-7.4841833
BOULEVARD AHL LOGHLAM SAKANI,33.5979758,-7.4842773
BOULEVARD AHMED MEKOUR,33.6148624,-7.536792
BOULEVARD AL MAGHRIB AL ARABI,33.599285,-7.4848433
BOULEVARD AL MAGHRIB AL ARABI,33.6000534,-7.4841168
BOULEVARD AL QODS,33.5416111,-7.5912846
BOULEVARD AL QODS,33.5418088,-7.5916049
BOULEVARD AMGALA,33.5403694,-7.5791858
BOULEVARD AMGALA,33.5405456,-7.5788651
BOULEVARD ANOUAL,33.5694941,-7.6273362
BOULEVARD ANOUAL,33.5696488,-7.6274462
BOULEVARD BEN BARKA,33.6036367,-7.6518743
BOULEVARD BEN BARKA,33.6039197,-7.6518181
BOULEVARD BORDEAUX,33.5978985,-7.629616
BOULEVARD BORDEAUX,33.5979329,-7.6295243
BOULEVARD BOUALAM,33.5612922,-7.5366381
BOULEVARD BOUALAM,33.5614767,-7.5366909
BOULEVARD CHEFCHAOUNI,33.6278613,-7.5004473
BOULEVARD CHEFCHAOUNI,33.6280504,-7.5006558
BOULEVARD DAKHLA,33.5333599,-7.6008409
BOULEVARD DAKHLA,33.5334035,-7.6007831
BOULEVARD DAKHLA 2,33.5435848,-7.5766643
BOULEVARD DAKHLA 2,33.5438997,-7.5771133
BOULEVARD DE BOURGOGNE,33.594989,-7.6506401
BOULEVARD DE BOURGOGNE,33.595104,-7.6507187
BOULEVARD DE BOUSKOURA,33.5573617,-7.6490748
BOULEVARD DE GAZA,33.5686404,-7.5841472
BOULEVARD DE GAZA,33.5687263,-7.5844412
BOULEVARD DE LA MECQUE,33.5459553,-7.6316059
BOULEVARD DE LA MECQUE,33.5460168,-7.6317456
BOULEVARD DE LA RESISTANCE,33.589095,-7.603987
