name,lat,lon,nearest_hosp_m,nearest_hosp_km,nearest_hosp
BOULEVARD SOUR JDID,33.60513065000001,-7.62091825,1094.7793687801054,1.0947793687801055,Hôpital Moulay Youssef مستشفى مولاي يوسف
BOULEVARD TAH,33.534499249999996,-7.5793996,1541.3014251907443,1.5413014251907444,Hôpital Sekkat
BOULEVARD TARIK IBNOU ZIAD,33.5768411,-7.616815,358.13153535693635,0.35813153535693637,Hopital 20 Aout
BOULEVARD TAZA,33.54473985,-7.5947149,541.2315537695863,0.5412315537695863,Polyclinique CNSS
BOULEVARD ZERKTOUNI,33.5915971,-7.63641415,232.85383746439558,0.23285383746439559,Clinique Al Massira مصحة المسيرة
BOULEVARS ABDELKRIM KHATTABI,33.58092605,-7.6647455,371.80304728563,0.37180304728562996,Clinique Longchamps مصحة لونشون
BOUSKOURA CENTRE,33.4376279,-7.6421028,9157.536566638631,9.157536566638631,Clinic Lina
BOUZIANE,33.5702385,-7.54359325,399.4443909504366,0.3994443909504366,المركز الصحي المسيرة 2 (المستوى التاني)
BRADAA,33.6999222,-7.3704099,15316.113482731265,15.316113482731266,Hôpital général de Casablanca Azhar-Bernoussi
BRAHMA 3,33.6289638,-7.45137605,4442.868319162253,4.442868319162253,Hôpital général de Casablanca Azhar-Bernoussi
BRAHMA II,33.621951249999995,-7.44632765,4269.406090530724,4.269406090530724,Hôpital général de Casablanca Azhar-Bernoussi
CARIERRE CENTRALE,33.59215305,-7.5664992,1319.6071685080888,1.3196071685080888,Clinique Al Mouahhidine
CARRIERE ARAIB,33.58182845,-7.533845550000001,1102.5212853179328,1.1025212853179327,Hôpital Municipal sidi moumen Tacharouk
CARRIERE BEN ABID,33.5002275,-7.87447555,18539.558178879703,18.5395581788797,hopital hassani
CARRIERE BEN M'SIK,33.5579318,-7.5794702,576.6750763970114,0.5766750763970113,Hôpital Sidi Othmane
CARRIERE BENMSICK,33.5574946,-7.5791201,552.5411667770339,0.5525411667770339,Hôpital Sidi Othmane
CARRIERE RHAMNA,33.590144949999996,-7.51892945,817.7377752345403,0.8177377752345403,Clinique Adoha
CARRIERE SCHNEIDER,33.56484385,-7.6678981,258.3538600973441,0.2583538600973441,Polyclinique CNSS Hay Hassani مصحة الضمان الإجتماعي الحي الحسني
CASERNE AIN BORJA,33.58683755,-7.590949999999999,497.04769007248916,0.49704769007248917,ATLANTIC CLINIC CASABLANCA
CASERNE DEROUA,33.4084786,-7.533419,15807.76329218602,15.80776329218602,HOPITAL UNIVERSITAIRE DE PROXIMITE
CASERNE MLY YOUSSEF,33.61768985,-7.45850245,3091.886349366716,3.0918863493667157,Hôpital général de Casablanca Azhar-Bernoussi
